/files/hits/amul-hits-1968.jpg^Indian skipper retires from tests.-Dec’14^/files/hits/amul-hits-1968.jpg^O Captain, Mahi Captain!^O Captain, Mahi Captain!^[u'Indian skipper retires from tests.-Dec\u201914']
/files/hits/amul-hits-1966.jpg^About Bharat Ratnas.. - Dec.'14^/files/hits/amul-hits-1966.jpg^Atalji Butterly Vajpayee!^Atalji Butterly Vajpayee!^[u"About Bharat Ratnas.. - Dec.'14"]
/files/hits/amul-hits-1967.jpg^Greetings for 2015 from Amul.-Dec’14^/files/hits/amul-hits-1967.jpg^Happy new cheer !^Happy new cheer !^[u'Greetings for 2015 from Amul.-Dec\u201914']
/files/hits/amul-hits-1965.jpg^Bollywood’s new comedy-drama PK –Dec’14^/files/hits/amul-hits-1965.jpg^Don't bhaste it, taste it!^Don't bhaste it, taste it!^[u'Bollywood\u2019s new comedy-drama PK \u2013Dec\u201914']
/files/hits/amul-hits-1963.jpg^Indian cricketers get verbally aggressive with Aussies! - Dec.'14^/files/hits/amul-hits-1963.jpg^What's the chatter with you guys ?^What's the chatter with you guys ?^[u"Indian cricketers get verbally aggressive with Aussies! - Dec.'14"]
/files/hits/amul-hits-1964.jpg^Amul sends everyone Christmas greetings !-Dec’14^/files/hits/amul-hits-1964.jpg^Merry X'masaka !^Merry X'masaka !^[u'Amul sends everyone Christmas greetings !-Dec\u201914']
/files/hits/amul-hits-1962.jpg^RIP - Sweet innocent children of Peshawar - Dec.'14^/files/hits/amul-hits-1962.jpg^Humein khilne do... padhne do... udne do...^Humein khilne do... padhne do... udne do...^[u"RIP - Sweet innocent children of Peshawar - Dec.'14"]
/files/hits/amul-hits-1961.jpg^Latest controversy facing government – Dec’14^/files/hits/amul-hits-1961.jpg^Easy to convert to!^Easy to convert to!^[u'Latest controversy facing government \u2013 Dec\u201914']
/files/hits/amul-hits-1960.jpg^Raising a toast to captain braveheart ! – Dec’14^/files/hits/amul-hits-1960.jpg^Vir proud of you !^Vir proud of you !^[u'Raising a toast to captain braveheart ! \u2013 Dec\u201914']
/files/hits/amul-hits-1959.jpg^Federer in Delhi for IPTL.-Dec'14^/files/hits/amul-hits-1959.jpg^Swiss cheez, Indian maska !^Swiss cheez, Indian maska !^[u"Federer in Delhi for IPTL.-Dec'14"]
/files/hits/amul-hits-1958.jpg^No spicy Indian food for US Prez ! – Dec’14^/files/hits/amul-hits-1958.jpg^Obamasala nahin ?^Obamasala nahin ?^[u'No spicy Indian food for US Prez ! \u2013 Dec\u201914']
/files/hits/amul-hits-1957.jpg^Cabs verification drive to ensure safety of women !.-Dec’14^/files/hits/amul-hits-1957.jpg^KhUberdaar kyo nahin thhe?^KhUberdaar kyo nahin thhe?^[u'Cabs verification drive to ensure safety of women !.-Dec\u201914']
/files/hits/amul-hits-1956.jpg^Arvind Kejriwal flies business class to Dubai! – Dec’14^/files/hits/amul-hits-1956.jpg^Aam aadmi ya OONCHE LOG ?^Aam aadmi ya OONCHE LOG ?^[u'Arvind Kejriwal flies business class to Dubai! \u2013 Dec\u201914']
/files/hits/amul-hits-1955.jpg^New Hollywood release for kids - Dec.'14^/files/hits/amul-hits-1955.jpg^Penguins of Maska !^Penguins of Maska !^[u"New Hollywood release for kids - Dec.'14"]
/files/hits/amul-hits-1954.jpg^Tribute to young Australian batsman.-Dec’14^/files/hits/amul-hits-1954.jpg^Hughes loss to the game....^Hughes loss to the game....^[u'Tribute to young Australian batsman.-Dec\u201914']
