/files/hits/amul-hits-1120.gif^Divide and drool^/files/hits/amul-hits-1120.gif^Divide and drool^Divide and drool^[u'Divide and drool']
/files/hits/amul-hits-1119.gif^Steffi Graf does well in the Tennis circuit.^/files/hits/amul-hits-1119.gif^Our popularity Graf goes up^Our popularity Graf goes up^[u'Steffi Graf does well in the Tennis circuit.']
/files/hits/amul-hits-1118.gif^V.P. Singh elected from Allahabad.^/files/hits/amul-hits-1118.gif^Allah iske baad kya hoga!^Allah iske baad kya hoga!^[u'V.P. Singh elected from Allahabad.']
/files/hits/amul-hits-1117.gif^Cricketer `Gatting' & Amul.^/files/hits/amul-hits-1117.gif^If life's Gatting bad, have a ball with Amul Butter^If life's Gatting bad, have a ball with Amul Butter^[u"Cricketer `Gatting' & Amul."]
/files/hits/amul-hits-1116.gif^Mourning the great Indian film star Raj Kapoor.^/files/hits/amul-hits-1116.gif^Amul^Amul^[u'Mourning the great Indian film star Raj Kapoor.']
/files/hits/amul-hits-1115.gif^The end of the cold war betweeen America &' Russia.^/files/hits/amul-hits-1115.gif^Lasting piece between the big two^Lasting piece between the big two^[u"The end of the cold war betweeen America &' Russia."]
/files/hits/amul-hits-1114.gif^Pakistan infiltration into India.^/files/hits/amul-hits-1114.gif^Sealed like the national border^Sealed like the national border^[u'Pakistan infiltration into India.']
/files/hits/amul-hits-1113.gif^Celebrating Eid with Amul.^/files/hits/amul-hits-1113.gif^Break fast with Amul^Break fast with Amul^[u'Celebrating Eid with Amul.']
/files/hits/amul-hits-1112.gif^The submarine scam and the Hindujas.^/files/hits/amul-hits-1112.gif^Nahin Duja Koi Middle Mein Sirf Amul Hoi^Nahin Duja Koi Middle Mein Sirf Amul Hoi^[u'The submarine scam and the Hindujas.']
/files/hits/amul-hits-1111.gif^The government gets tough with Kiran Bedi.^/files/hits/amul-hits-1111.gif^Needn't shift this Kiran when it gets in your eyes^Needn't shift this Kiran when it gets in your eyes^[u'The government gets tough with Kiran Bedi.']
/files/hits/amul-hits-1110.gif^A comment on the Rajya Sabha.^/files/hits/amul-hits-1110.gif^Amul's Rajya in every Sabha^Amul's Rajya in every Sabha^[u'A comment on the Rajya Sabha.']
/files/hits/amul-hits-1109.gif^Bomaby Bandh.^/files/hits/amul-hits-1109.gif^Some things can never be Bandh^Some things can never be Bandh^[u'Bomaby Bandh.']
/files/hits/amul-hits-1108.gif^A comment on the film `Nayakan'.^/files/hits/amul-hits-1108.gif^Vennai Nayakan^Vennai Nayakan^[u"A comment on the film `Nayakan'."]
/files/hits/amul-hits-1107.gif^A comment on the film `Shehenshah' featuring Amul Butter.^/files/hits/amul-hits-1107.gif^Rich taste se hum sabke baap lagte hai^Rich taste se hum sabke baap lagte hai^[u"A comment on the film `Shehenshah' featuring Amul Butter."]
/files/hits/amul-hits-1106.gif^The cricket board passes stricture against Sunil Gavaskar for going to press without permission.^/files/hits/amul-hits-1106.gif^Do right and fear no man. Don't write and fear no Board^Do right and fear no man. Don't write and fear no Board^[u'The cricket board passes stricture against Sunil Gavaskar for going to press without permission.']
/files/hits/amul-hits-1105.gif^The IPKF efforts to bring peace in Sri Lanka.^/files/hits/amul-hits-1105.gif^Let Tiger's Take to Enjoying India's Popular Kitchen Fare^Let Tiger's Take to Enjoying India's Popular Kitchen Fare^[u'The IPKF efforts to bring peace in Sri Lanka.']
