/files/hits/amul-hits-1332.gif^A comment on the controversial MR Coffee advertisement^/files/hits/amul-hits-1332.gif^Love-bites^Love-bites^[u'A comment on the controversial MR Coffee advertisement']
/files/hits/amul-hits-1076.gif^The rapid change of Prime Ministers in the Country^/files/hits/amul-hits-1076.gif^Now you see it... - now you don't^Now you see it... - now you don't^[u'The rapid change of Prime Ministers in the Country']
/files/hits/amul-hits-1075.gif^A US cargo aircraft gets refuelled at Sahar^/files/hits/amul-hits-1075.gif^Continues this refuelling^Continues this refuelling^[u'A US cargo aircraft gets refuelled at Sahar']
/files/hits/amul-hits-1074.gif^Chumma Chumma de de.... A chartbuster from the Hindi film ^/files/hits/amul-hits-1074.gif^utterly butterly de de^utterly butterly de de^[u'Chumma Chumma de de.... A chartbuster from the Hindi film "HUM"']
/files/hits/amul-hits-1073.gif^The Iraqis used the SCUD missiles, US retaliated with the Patriots.^/files/hits/amul-hits-1073.gif^This Spread Causes Utter Delight^This Spread Causes Utter Delight^[u'The Iraqis used the SCUD missiles, US retaliated with the Patriots.']
/files/hits/amul-hits-1072.gif^The political crisis during the Gulf War^/files/hits/amul-hits-1072.gif^Avoid Immensely Regrettable Armed Quarrel and Useless Strife^Avoid Immensely Regrettable Armed Quarrel and Useless Strife^[u'The political crisis during the Gulf War']
/files/hits/amul-hits-1071.gif^Welcoming 1991^/files/hits/amul-hits-1071.gif^Happy `Ninety Fun'^Happy `Ninety Fun'^[u'Welcoming 1991']
/files/hits/amul-hits-1070.gif^Politicians fighting for the CM's post^/files/hits/amul-hits-1070.gif^This Creamy Makkhan continues to govern in all states^This Creamy Makkhan continues to govern in all states^[u"Politicians fighting for the CM's post"]
/files/hits/amul-hits-1069.gif^A comment on the political situation in Britain. Its Ms. Margaret Thathcer and Mr. John Major^/files/hits/amul-hits-1069.gif^No Major change in this lady's rule^No Major change in this lady's rule^[u'A comment on the political situation in Britain. Its Ms. Margaret Thathcer and Mr. John Major']
/files/hits/amul-hits-1068.gif^The `I Love Mumbai' campaign initiated by Nana Chudasama^/files/hits/amul-hits-1068.gif^My Mumbai, love it or leave it^My Mumbai, love it or leave it^[u"The `I Love Mumbai' campaign initiated by Nana Chudasama"]
/files/hits/amul-hits-1067.gif^Folk dance festival^/files/hits/amul-hits-1067.gif^Makhanotsav^Makhanotsav^[u'Folk dance festival']
/files/hits/amul-hits-1066.gif^The coalition govt. by Janata Dal & Samajwadi Janata Party^/files/hits/amul-hits-1066.gif^For long lasting friendship^For long lasting friendship^[u'The coalition govt. by Janata Dal & Samajwadi Janata Party']
/files/hits/amul-hits-1065.gif^Promoting National integration^/files/hits/amul-hits-1065.gif^Making slices is easy, but lets try bonding together^Making slices is easy, but lets try bonding together^[u'Promoting National integration']
/files/hits/amul-hits-1064.gif^The fuel prices hiked again^/files/hits/amul-hits-1064.gif^Increase the consumption of this fuel^Increase the consumption of this fuel^[u'The fuel prices hiked again']
