/files/hits/amul-hits-745.jpg^^/files/hits/amul-hits-745.jpg^Haira Pheri!^Haira Pheri!^[u'"On the controversial umpiring of Darrel Hair" December 1999']
/files/hits/amul-hits-744.jpg^^/files/hits/amul-hits-744.jpg^Third World Title!^Third World Title!^[u'"Yukta Mookhey, the Third Indian Miss World in the last six years" December 1999']
/files/hits/amul-hits-743.jpg^^/files/hits/amul-hits-743.jpg^Elton gone?^Elton gone?^[u'"Debate over pop star Elton John performing in Mumbai" - December 1999']
/files/hits/amul-hits-742.jpg^^/files/hits/amul-hits-742.jpg^Lele ke dene na pad jaye!^Lele ke dene na pad jaye!^[u'"BCCI Secretary Jaywant Lele at the centre of a controversy" December 1999.']
/files/hits/amul-hits-741.jpg^^/files/hits/amul-hits-741.jpg^Aus tile reception!^Aus tile reception!^[u'"Tough Tour to Australia" November 1999.']
/files/hits/amul-hits-740.jpg^^/files/hits/amul-hits-740.jpg^Madhuri's Fixed it!^Madhuri's Fixed it!^[u'"On film star Madhuri Dixit\'s unexpected wedding" - November 1999.']
/files/hits/amul-hits-739.jpg^^/files/hits/amul-hits-739.jpg^Cab pollution kum hoge^Cab pollution kum hoge^[u'"PUC (Pollution under control) for taxis in Mumbai city" - November 1999.']
/files/hits/amul-hits-738.jpg^On the film ^/files/hits/amul-hits-738.jpg^Fun Time Menace^Fun Time Menace^[u'On the film "Star Wars - Episode 1 - The Phantom Menace" October 1999.']
/files/hits/amul-hits-737.jpg^^/files/hits/amul-hits-737.jpg^Punjab da putter!^Punjab da putter!^[u'"Jeeve Milkha Singh\'s victory in Lexus Golf Tournament" October 1999.']
/files/hits/amul-hits-736.jpg^^/files/hits/amul-hits-736.jpg^Naaraaz Sharif!^Naaraaz Sharif!^[u'"Military overtakes Pakistan. Prime Minister Nawaz Sharif placed under house arrest" - October 1999.']
/files/hits/amul-hits-735.jpg^^/files/hits/amul-hits-735.jpg^Big hitch in this hike!^Big hitch in this hike!^[u'"40% hike in diesel price" - October 1999.']
/files/hits/amul-hits-734.jpg^Khushwant Singh giving a peck on the cheek to the Pakistani High Commissioner's daughter - created a furore in Pakistan - October 1999^/files/hits/amul-hits-734.jpg^Kiss want Singh? class=inlink1^Kiss want Singh? class=inlink1^[u"Khushwant Singh giving a peck on the cheek to the Pakistani High Commissioner's daughter - created a furore in Pakistan - October 1999"]
/files/hits/amul-hits-733.jpg^^/files/hits/amul-hits-733.jpg^The Big Bhool!^The Big Bhool!^[u'"Big bull-Harshad Mehta convicted in the Maruti Udyog Ltd. scam" - September 1999.']
/files/hits/amul-hits-732.jpg^^/files/hits/amul-hits-732.jpg^Get off my back!^Get off my back!^[u'"Media speculations on Sachin Tendulkar\'s back trouble affecting his future career" - September 1999']
/files/hits/amul-hits-731.jpg^^/files/hits/amul-hits-731.jpg^Kapital idea!^Kapital idea!^[u'"On Kapil Dev being appointed coach of the Indian Cricket team" - September 1999']
/files/hits/amul-hits-730.jpg^^/files/hits/amul-hits-730.jpg^Kin Cong!^Kin Cong!^[u'"For the 2nd generation in politics" - September 1999']
/files/hits/amul-hits-729.jpg^^/files/hits/amul-hits-729.jpg^CST, sub ways jaatha hai!^CST, sub ways jaatha hai!^[u'"New CST fibreglass subway inaugurated in Mumbai on 8.9.1999" - September 1999']
/files/hits/amul-hits-728.jpg^^/files/hits/amul-hits-728.jpg^Makhan chor maange makhan more!^Makhan chor maange makhan more!^[u'"On the Janmasthami festival" - September 1999']
/files/hits/amul-hits-727.jpg^India's defeat in the AIWA Cricket Cup^/files/hits/amul-hits-727.jpg^AIWASH!^AIWASH!^[u"India's defeat in the AIWA Cricket Cup"]
/files/hits/amul-hits-726.jpg^Both Sonia Gandhi and Sushma Swaraj filed their nomination papers from Bellary. - August 1999^/files/hits/amul-hits-726.jpg^Her Raj or Swaraj ?^Her Raj or Swaraj ?^[u'Both Sonia Gandhi and Sushma Swaraj filed their nomination papers from Bellary. - August 1999']
/files/hits/amul-hits-725.jpg^Traffic police in Mumbai get new capson Independence Day. - August 1999^/files/hits/amul-hits-725.jpg^Caps and Robbers!^Caps and Robbers!^[u'Traffic police in Mumbai get new capson Independence Day. - August 1999']
/files/hits/amul-hits-724.jpg^Censor board in India wanting to make cuts in Shekhar Kapur's film ^/files/hits/amul-hits-724.jpg^Censor's Cut^Censor's Cut^[u'Censor board in India wanting to make cuts in Shekhar Kapur\'s film "Elizabeth" - August 1999.']
/files/hits/amul-hits-723.jpg^Monsoons and Pool parlours take the cities by storm - August'99^/files/hits/amul-hits-723.jpg^Bad pool Good pool^Bad pool Good pool^[u"Monsoons and Pool parlours take the cities by storm - August'99"]
/files/hits/amul-hits-722.jpg^^/files/hits/amul-hits-722.jpg^Butter no. 1^Butter no. 1^[u'"On success of the Hindi film Biwi no. 1"']
/files/hits/amul-hits-721.jpg^On the ^/files/hits/amul-hits-721.jpg^Nar mada River Project^Nar mada River Project^[u'On the "Narmada Bachao" issue:']
/files/hits/amul-hits-720.jpg^^/files/hits/amul-hits-720.jpg^Wimbledone it!^Wimbledone it!^[u'"On Leander Paes and Mahesh Bhupathi winning the Men\'s Doubles Final at Wimbledon"']
/files/hits/amul-hits-719.jpg^^/files/hits/amul-hits-719.jpg^Great steff for Big Macs!^Great steff for Big Macs!^[u'"On Steffi Graf and John McEnroe winning the Ist round of mixed doubles at Wimbledon"']
/files/hits/amul-hits-718.jpg^On Australia winning the Cricket World Cup.^/files/hits/amul-hits-718.jpg^Steve Wah!^Steve Wah!^[u'On Australia winning the Cricket World Cup.']
/files/hits/amul-hits-717.jpg^^/files/hits/amul-hits-717.jpg^World kab?^World kab?^[u'"When is the Cricket World Cup going to be won by India?"']
/files/hits/amul-hits-716.jpg^^/files/hits/amul-hits-716.jpg^Pak up and leave!^Pak up and leave!^[u'"On the Kargil issue"']
/files/hits/amul-hits-715.jpg^^/files/hits/amul-hits-715.jpg^On a French roll^On a French roll^[u'"On India\'s top double pair, Leander Paes and Mahesh Bhupathi, winning the first Grand Slam Trophy for Men\'s Doubles Final in the French Opens".']
/files/hits/amul-hits-714.jpg^^/files/hits/amul-hits-714.jpg^In Sixth Heaven!^In Sixth Heaven!^[u'"India qualifies to Super Six in the Cricket World Cup"']
/files/hits/amul-hits-713.jpg^^/files/hits/amul-hits-713.jpg^Ten Du Ten Don't^Ten Du Ten Don't^[u'"On the lone success of Sachin Tendulkar, while his team-mates keep failing"']
/files/hits/amul-hits-712.jpg^^/files/hits/amul-hits-712.jpg^Cronje unplugged!^Cronje unplugged!^[u'"South African captain Hanse Cronje uses external audio aid during the cricket World Cup match against India".']
/files/hits/amul-hits-711.jpg^^/files/hits/amul-hits-711.jpg^Mayday Gone!^Mayday Gone!^[u'"On the prophecy of world ending on May 8th proving baseless"']
/files/hits/amul-hits-710.jpg^Film stars Sharukh Khan, Amir Khan and Salman Khan endorsing soft drinks Pepsi, Cocoa-cola and Thums-up respectively.^/files/hits/amul-hits-710.jpg^Khanned Colas!^Khanned Colas!^[u'Film stars Sharukh Khan, Amir Khan and Salman Khan endorsing soft drinks Pepsi, Cocoa-cola and Thums-up respectively.']
/files/hits/amul-hits-709.jpg^^/files/hits/amul-hits-709.jpg^Give me red!^Give me red!^[u'"On BEST plans to paint the buses Saffron"']
/files/hits/amul-hits-708.jpg^^/files/hits/amul-hits-708.jpg^Poona aalo^Poona aalo^[u'"Re-instatement of Pune Municipal Commissioner Mr. Arun Bhatia"']
/files/hits/amul-hits-707.jpg^Smoking banned in Bangalore gardens.^/files/hits/amul-hits-707.jpg^Butt out of our Gardens^Butt out of our Gardens^[u'Smoking banned in Bangalore gardens.']
/files/hits/amul-hits-1331.jpg^Successful test firing of Agni-II missile^/files/hits/amul-hits-1331.jpg^Agni and the ecstasy^Agni and the ecstasy^[u'Successful test firing of Agni-II missile']
/files/hits/amul-hits-706.jpg^Construction of Flyovers in Mumbai city.^/files/hits/amul-hits-706.jpg^Fly over-population!^Fly over-population!^[u'Construction of Flyovers in Mumbai city.']
/files/hits/amul-hits-705.jpg^Jayalalitha threatening to withdraw support to the centre^/files/hits/amul-hits-705.jpg^AIA DHAMKI^AIA DHAMKI^[u'Jayalalitha threatening to withdraw support to the centre']
/files/hits/amul-hits-704.jpg^Applauding Goa Governor for streamlining public administration.^/files/hits/amul-hits-704.jpg^We salute the general^We salute the general^[u'Applauding Goa Governor for streamlining public administration.']
/files/hits/amul-hits-703.jpg^Pun on India's mainstay cricketer Sachin Tendulkar's back ailment.^/files/hits/amul-hits-703.jpg^India's Backbone^India's Backbone^[u"Pun on India's mainstay cricketer Sachin Tendulkar's back ailment."]
/files/hits/amul-hits-702.jpg^Film ^/files/hits/amul-hits-702.jpg^Shakespearan Loaf^Shakespearan Loaf^[u'Film "Shakespeare In Love" winning the Oscar award for Best Picture.']
/files/hits/amul-hits-701.jpg^Sachin Tendulkar's back injury.^/files/hits/amul-hits-701.jpg^India's Backbone^India's Backbone^[u"Sachin Tendulkar's back injury."]
/files/hits/amul-hits-700.jpg^About the Y2K Computer issue^/files/hits/amul-hits-700.jpg^Y2K Yes to khana^Y2K Yes to khana^[u'About the Y2K Computer issue']
/files/hits/amul-hits-699.jpg^Prime Minister's visit to Lahore by bus.^/files/hits/amul-hits-699.jpg^Shanti ab hamare bus mein!^Shanti ab hamare bus mein!^[u"Prime Minister's visit to Lahore by bus."]
/files/hits/amul-hits-698.jpg^Haul of 10 wickets by kumble^/files/hits/amul-hits-698.jpg^Pakistunned!^Pakistunned!^[u'Haul of 10 wickets by kumble']
/files/hits/amul-hits-697.jpg^Bad Umpiring in the Cricket Test Match.^/files/hits/amul-hits-697.jpg^Fingering the batsman!^Fingering the batsman!^[u'Bad Umpiring in the Cricket Test Match.']
/files/hits/amul-hits-696.jpg^Sporting crowd at the Chennai Cricket stadium^/files/hits/amul-hits-696.jpg^The real sportsmen!^The real sportsmen!^[u'Sporting crowd at the Chennai Cricket stadium']
/files/hits/amul-hits-695.jpg^Sporting crowd at the Chennai Cricket stadium^/files/hits/amul-hits-695.jpg^Every crowd has a silver lining!^Every crowd has a silver lining!^[u'Sporting crowd at the Chennai Cricket stadium']
/files/hits/amul-hits-694.jpg^Shekar Kapur's film ^/files/hits/amul-hits-694.jpg^Shekhar ka power^Shekhar ka power^[u'Shekar Kapur\'s film "Elizabeth"']
/files/hits/amul-hits-693.jpg^Take off on Europe's conversion to one currency.^/files/hits/amul-hits-693.jpg^Eurocracy!^Eurocracy!^[u"Take off on Europe's conversion to one currency."]
/files/hits/amul-hits-692.jpg^On Kaizad Gustad's film `Bombay Boys'.^/files/hits/amul-hits-692.jpg^Bombay Boys^Bombay Boys^[u"On Kaizad Gustad's film `Bombay Boys'."]
/files/hits/amul-hits-691.jpg^On winning the Gold for Hockey in the Asian Games.^/files/hits/amul-hits-691.jpg^Superb dis pillay!^Superb dis pillay!^[u'On winning the Gold for Hockey in the Asian Games.']
/files/hits/amul-hits-690.jpg^Australian cricketers Shane Warne and Mark Waugh involved in bookmaker scandal.^/files/hits/amul-hits-690.jpg^Shame Warne^Shame Warne^[u'Australian cricketers Shane Warne and Mark Waugh involved in bookmaker scandal.']
/files/hits/amul-hits-689.jpg^To the health of Dr. V. Kurien India's `milkman'^/files/hits/amul-hits-689.jpg^To the health of Dr. V. Kurien India's `milkman'^To the health of Dr. V. Kurien India's `milkman'^[u"To the health of Dr. V. Kurien India's `milkman'"]
/files/hits/amul-hits-688.jpg^On Popularity of bhangra pop star Daler Mehndi^/files/hits/amul-hits-688.jpg^Balle^Balle^[u'On Popularity of bhangra pop star Daler Mehndi']
/files/hits/amul-hits-687.jpg^Showers from Leonid Meteor which could not be witnessed in Mumbai due to cloudy weather.^/files/hits/amul-hits-687.jpg^Star Struck!!^Star Struck!!^[u'Showers from Leonid Meteor which could not be witnessed in Mumbai due to cloudy weather.']
/files/hits/amul-hits-686.jpg^On the unaffordable prices of onions.^/files/hits/amul-hits-686.jpg^Im' pyaz'able situation!^Im' pyaz'able situation!^[u'On the unaffordable prices of onions.']
/files/hits/amul-hits-685.jpg^Obituary of actor Ajit^/files/hits/amul-hits-685.jpg^The `Loin' King^The `Loin' King^[u'Obituary of actor Ajit']
/files/hits/amul-hits-684.jpg^Bade me Amul Chote me Amul^/files/hits/amul-hits-684.jpg^Bade me Amul Chote me Amul^Bade me Amul Chote me Amul^[u'Bade me Amul Chote me Amul']
/files/hits/amul-hits-683.jpg^Economist Mr. Amartya Sen winning the Nobel Prize for economics.^/files/hits/amul-hits-683.jpg^Nobel man!^Nobel man!^[u'Economist Mr. Amartya Sen winning the Nobel Prize for economics.']
/files/hits/amul-hits-682.jpg^Poaching by actors in Jaipur^/files/hits/amul-hits-682.jpg^The buck-shish stops here!^The buck-shish stops here!^[u'Poaching by actors in Jaipur']
/files/hits/amul-hits-681.jpg^On the Bus strike in Mumbai.^/files/hits/amul-hits-681.jpg^Bus stop!^Bus stop!^[u'On the Bus strike in Mumbai.']
/files/hits/amul-hits-680.jpg^On the present situation in Bihar.^/files/hits/amul-hits-680.jpg^Bihaar Ki Jeet^Bihaar Ki Jeet^[u'On the present situation in Bihar.']
/files/hits/amul-hits-679.jpg^Based on the Starr report on Bill Clinton.^/files/hits/amul-hits-679.jpg^Monica Lewd-insky!^Monica Lewd-insky!^[u'Based on the Starr report on Bill Clinton.']
