/files/hits/amul-hits-1767.jpg^Happy New Year!^/files/hits/amul-hits-1767.jpg^NAYI DISHA NAYE DISHES!^NAYI DISHA NAYE DISHES!^[u'Happy New Year!']
/files/hits/amul-hits-1766.jpg^R.I.P. Farooque Shaikh - Dec.'13^/files/hits/amul-hits-1766.jpg^Naav yaadon ki doobti hi nahin...^Naav yaadon ki doobti hi nahin...^[u"R.I.P. Farooque Shaikh - Dec.'13"]
/files/hits/amul-hits-1765.jpg^The great South African retires from test cricket - Dec.'13^/files/hits/amul-hits-1765.jpg^Khallas to a great career!^Khallas to a great career!^[u"The great South African retires from test cricket - Dec.'13"]
/files/hits/amul-hits-1764.jpg^Euphoria singer makes ‘sexist’ remarks at IIT Bombay –Dec’13^/files/hits/amul-hits-1764.jpg^Belan se maar padegi, palash!^Belan se maar padegi, palash!^[u'Euphoria singer makes \u2018sexist\u2019 remarks at IIT Bombay \u2013Dec\u201913']
/files/hits/amul-hits-1763.jpg^AAP and Congress join hands^/files/hits/amul-hits-1763.jpg^Hand in Hand, AAM in ARM?^Hand in Hand, AAM in ARM?^[u'AAP and Congress join hands']
/files/hits/amul-hits-1762.jpg^New Bollywood release –Dec’13^/files/hits/amul-hits-1762.jpg^Dhoom tea!^Dhoom tea!^[u'New Bollywood release \u2013Dec\u201913']
/files/hits/amul-hits-1761.jpg^Diplomatic spat between India and U.S- Dec’13^/files/hits/amul-hits-1761.jpg^Khobradaar USA!^Khobradaar USA!^[u'Diplomatic spat between India and U.S- Dec\u201913']
/files/hits/amul-hits-1760.jpg^RIP Peter O’ Toole –Dec’13^/files/hits/amul-hits-1760.jpg^I Know I'm not ordinary!^I Know I'm not ordinary!^[u'RIP Peter O\u2019 Toole \u2013Dec\u201913']
/files/hits/amul-hits-1759.jpg^Lok Pal bill in Rajya Sabha–Dec’13^/files/hits/amul-hits-1759.jpg^Pal kya hoga Kisko Pata?^Pal kya hoga Kisko Pata?^[u'Lok Pal bill in Rajya Sabha\u2013Dec\u201913']
/files/hits/amul-hits-1758.jpg^Supreme Court verdict on Section 377 –Dec’13^/files/hits/amul-hits-1758.jpg^Freedpm of choice^Freedpm of choice^[u'Supreme Court verdict on Section 377 \u2013Dec\u201913']
/files/hits/amul-hits-1757.jpg^Australian fast bowler terrorises English batsmen –Dec’12^/files/hits/amul-hits-1757.jpg^Mirchi Johnson!^Mirchi Johnson!^[u'Australian fast bowler terrorises English batsmen \u2013Dec\u201912']
