

1976

/files/hits/amul-hits-1251.gif^When helmets were made compulsory in Bombay^/files/hits/amul-hits-1251.gif^Use your head!^Use your head!^[u'When helmets were made compulsory in Bombay']
/files/hits/amul-hits-1250.gif^The Big Payoff^/files/hits/amul-hits-1250.gif^The Big Payoff^The Big Payoff^[u'The Big Payoff']
/files/hits/amul-hits-1249.gif^On compulsory sterilisation introduced during Indira Gandhi regime.^/files/hits/amul-hits-1249.gif^We've always practised Compulsory Sterilisation^We've always practised Compulsory Sterilisation^[u'On compulsory sterilisation introduced during Indira Gandhi regime.']
/files/hits/amul-hits-1248.gif^Your good fortune!^/files/hits/amul-hits-1248.gif^Your good fortune!^Your good fortune!^[u'Your good fortune!']
/files/hits/amul-hits-1247.gif^Race through this course^/files/hits/amul-hits-1247.gif^Race through this course^Race through this course^[u'Race through this course']
/files/hits/amul-hits-1246.gif^Maintenance of Internal Security Act introduced during emergency.^/files/hits/amul-hits-1246.gif^Maintain Internal Security^Maintain Internal Security^[u'Maintenance of Internal Security Act introduced during emergency.']
/files/hits/amul-hits-1245.gif^When the Bruce-Lee film `Enter the Dragon' was released.^/files/hits/amul-hits-1245.gif^Enter the Dragon Champ!^Enter the Dragon Champ!^[u"When the Bruce-Lee film `Enter the Dragon' was released."]


1979

/files/hits/amul-hits-1244.gif^M. Karunanidhi eminant DMK leader, writer and Amul Butter.^/files/hits/amul-hits-1244.gif^Tamil Headline^Tamil Headline^[u'M. Karunanidhi eminant DMK leader, writer and Amul Butter.']
/files/hits/amul-hits-1243.gif^Girls adviced to stop hitching as it's becoming dangerous at times.^/files/hits/amul-hits-1243.gif^No joking - Stop hitching!^No joking - Stop hitching!^[u"Girls adviced to stop hitching as it's becoming dangerous at times."]
/files/hits/amul-hits-1242.gif^To exercise a cardinal choice.^/files/hits/amul-hits-1242.gif^CARDINAL CHOICE^CARDINAL CHOICE^[u'To exercise a cardinal choice.']
/files/hits/amul-hits-1241.gif^Lata Mangeshkar the melody queen conferred with an honorary doctorate for her contribution to music.^/files/hits/amul-hits-1241.gif^The Doctor-ate^The Doctor-ate^[u'Lata Mangeshkar the melody queen conferred with an honorary doctorate for her contribution to music.']
/files/hits/amul-hits-1240.gif^Sunil Gavaskar's cricketing achievement.^/files/hits/amul-hits-1240.gif^Sunil's taste runs in doubles^Sunil's taste runs in doubles^[u"Sunil Gavaskar's cricketing achievement."]
/files/hits/amul-hits-1239.gif^Executives get a better deal after the budget.^/files/hits/amul-hits-1239.gif^Executive perks up!^Executive perks up!^[u'Executives get a better deal after the budget.']
/files/hits/amul-hits-1238.gif^Dismal performance of the national cricket team.^/files/hits/amul-hits-1238.gif^All out for Amul^All out for Amul^[u'Dismal performance of the national cricket team.']
/files/hits/amul-hits-1237.gif^The Ganapati festival and Amul.^/files/hits/amul-hits-1237.gif^Ganapati bappa morya Amul mla louvkar yaa!^Ganapati bappa morya Amul mla louvkar yaa!^[u'The Ganapati festival and Amul.']
/files/hits/amul-hits-1236.gif^Amul celebrate the Diwali Festival.^/files/hits/amul-hits-1236.gif^We're crackers about Amul!^We're crackers about Amul!^[u'Amul celebrate the Diwali Festival.']
/files/hits/amul-hits-1235.gif^Smashing Service^/files/hits/amul-hits-1235.gif^Smashing Service^Smashing Service^[u'Smashing Service']
/files/hits/amul-hits-1234.gif^A comment on the film `Pati, Patni aur woh'.^/files/hits/amul-hits-1234.gif^PATI PATNI AUR WAH!^PATI PATNI AUR WAH!^[u"A comment on the film `Pati, Patni aur woh'."]
/files/hits/amul-hits-1233.gif^Fashionable raincoats hit the market.^/files/hits/amul-hits-1233.gif^A coat for all seasons^A coat for all seasons^[u'Fashionable raincoats hit the market.']
/files/hits/amul-hits-1232.gif^UTTERLY LOVERLY..^/files/hits/amul-hits-1232.gif^UTTERLY LOVERLY..^UTTERLY LOVERLY..^[u'UTTERLY LOVERLY..']
/files/hits/amul-hits-1231.gif^Amul congratulates the success of the first test-tube baby.^/files/hits/amul-hits-1231.gif^Taste tube baby^Taste tube baby^[u'Amul congratulates the success of the first test-tube baby.']
/files/hits/amul-hits-1230.gif^Amul ushers in the summer.^/files/hits/amul-hits-1230.gif^Summore fun^Summore fun^[u'Amul ushers in the summer.']
/files/hits/amul-hits-1229.gif^Capital builder^/files/hits/amul-hits-1229.gif^Capital builder^Capital builder^[u'Capital builder']
/files/hits/amul-hits-1228.gif^GOLD KEEPER^/files/hits/amul-hits-1228.gif^GOLD KEEPER^GOLD KEEPER^[u'GOLD KEEPER']
/files/hits/amul-hits-1227.gif^THE SPREADING DEVICE^/files/hits/amul-hits-1227.gif^THE SPREADING DEVICE^THE SPREADING DEVICE^[u'THE SPREADING DEVICE']
/files/hits/amul-hits-1226.gif^The Nizam of Hyderabad's jewellery is up for public auction^/files/hits/amul-hits-1226.gif^Priceless - even in Hyderabad!^Priceless - even in Hyderabad!^[u"The Nizam of Hyderabad's jewellery is up for public auction"]
/files/hits/amul-hits-1225.gif^Amul sex's up the first Jazz Yatra.^/files/hits/amul-hits-1225.gif^Utterly butterly and all that jazz^Utterly butterly and all that jazz^[u"Amul sex's up the first Jazz Yatra."]
/files/hits/amul-hits-1224.gif^The crowds demand Amul Butter with their pau-bhajis.^/files/hits/amul-hits-1224.gif^PAU-MUL BHAJI^PAU-MUL BHAJI^[u'The crowds demand Amul Butter with their pau-bhajis.']
/files/hits/amul-hits-1223.gif^M. G. Ramchandran Chief Minister of Tamil Nadu - likeness for Amul.^/files/hits/amul-hits-1223.gif^Tamil Headline^Tamil Headline^[u'M. G. Ramchandran Chief Minister of Tamil Nadu - likeness for Amul.']
/files/hits/amul-hits-1222.gif^Indian Railways introduces cushioned chairs in the first class compartments.^/files/hits/amul-hits-1222.gif^First class cushioning for your bread^First class cushioning for your bread^[u'Indian Railways introduces cushioned chairs in the first class compartments.']
/files/hits/amul-hits-1221.gif^Loadhedding situation.^/files/hits/amul-hits-1221.gif^Lighten the load shed^Lighten the load shed^[u'Loadhedding situation.']
/files/hits/amul-hits-1220.gif^Bengali music festival^/files/hits/amul-hits-1220.gif^Banglamul Sangeet^Banglamul Sangeet^[u'Bengali music festival']
/files/hits/amul-hits-1219.gif^U.S. President, Jimmy Carter's fondness for peanuts.^/files/hits/amul-hits-1219.gif^We're peanuts about you!^We're peanuts about you!^[u"U.S. President, Jimmy Carter's fondness for peanuts."]
/files/hits/amul-hits-1218.gif^You can't beat this yellow column^/files/hits/amul-hits-1218.gif^You can't beat this yellow column^You can't beat this yellow column^[u"You can't beat this yellow column"]
/files/hits/amul-hits-1217.gif^A comment on Charlie Chaplin's film `Gold Rush'.^/files/hits/amul-hits-1217.gif^The Gold Rush is Still on^The Gold Rush is Still on^[u"A comment on Charlie Chaplin's film `Gold Rush'."]
/files/hits/amul-hits-1216.gif^Amul congratulates Mohammad Ali for winning again.^/files/hits/amul-hits-1216.gif^I'm the chomp chomp champ!^I'm the chomp chomp champ!^[u'Amul congratulates Mohammad Ali for winning again.']
/files/hits/amul-hits-1215.gif^First escalator at Chowpatty seaface, Mumbai.^/files/hits/amul-hits-1215.gif^Automatically Amul^Automatically Amul^[u'First escalator at Chowpatty seaface, Mumbai.']


1981

/files/hits/amul-hits-1214.jpg^Mangalamulti molaya^/files/hits/amul-hits-1214.jpg^Mangalamulti molaya^Mangalamulti molaya^[u'Mangalamulti molaya']
/files/hits/amul-hits-1213.jpg^Racing start to the day^/files/hits/amul-hits-1213.jpg^Racing start to the day^Racing start to the day^[u'Racing start to the day']
/files/hits/amul-hits-1212.jpg^Kreamier vs Kreamier^/files/hits/amul-hits-1212.jpg^Kreamier vs Kreamier^Kreamier vs Kreamier^[u'Kreamier vs Kreamier']
/files/hits/amul-hits-1211.jpg^Bitten by the love-Borg^/files/hits/amul-hits-1211.jpg^Bitten by the love-Borg^Bitten by the love-Borg^[u'Bitten by the love-Borg']
/files/hits/amul-hits-1210.jpg^Box-office hit!^/files/hits/amul-hits-1210.jpg^Box-office hit!^Box-office hit!^[u'Box-office hit!']
/files/hits/amul-hits-1209.jpg^Mae she west in peace^/files/hits/amul-hits-1209.jpg^Mae she west in peace^Mae she west in peace^[u'Mae she west in peace']
/files/hits/amul-hits-1208.jpg^Olympack-80^/files/hits/amul-hits-1208.jpg^Olympack-80^Olympack-80^[u'Olympack-80']
/files/hits/amul-hits-1207.jpg^Utterl(I) Butterl(I)^/files/hits/amul-hits-1207.jpg^Utterl(I) Butterl(I)^Utterl(I) Butterl(I)^[u'Utterl(I) Butterl(I)']
/files/hits/amul-hits-1206.jpg^Fuel for vintage models^/files/hits/amul-hits-1206.jpg^Fuel for vintage models^Fuel for vintage models^[u'Fuel for vintage models']


1981

